Format = Name, Patch, Type, Ra, Dec, I, Q, U, V, SpectralIndex, LogarithmicSI, ReferenceFrequency='150.e6', MajorAxis, MinorAxis, Orientation

, cluster1, POINT, , , , , , , , , , , ,
GLEAM J234341-310202, cluster2, POINT, 23:43:41.484, -31.02.02.896, 0.796511769294739, 0, 0, 0, [-0.382239371538162, 0], true, 200000000, , ,
GLEAM J233605-323011, cluster2, GAUSSIAN, 23:36:05.493, -32.30.11.783, 0.966953217983246, 0, 0, 0, [-0.677454173564911, 0], true, 200000000, 167.5234375, 150.576080322266, -7.99109745025635
GLEAM J001437-332815, cluster2, POINT, 00:14:37.249, -33.28.15.218, 0.6738201379776, 0, 0, 0, [-0.866775929927826, 0], true, 200000000, , ,
GLEAM J215706-694117, cluster2, POINT, 21:57:06.936, -69.41.17.417, 84.0747222900391, 0, 0, 0, [-0.49901819229126, 0], true, 200000000, , ,
GLEAM J234507-303108, cluster2, POINT, 23:45:07.412, -30.31.08.575, 0.682708919048309, 0, 0, 0, [-0.913584887981415, 0], true, 200000000, , ,
GLEAM J233818-331719, cluster2, POINT, 23:38:18.882, -33.17.19.595, 0.930617570877075, 0, 0, 0, [-0.906699657440186, 0], true, 200000000, , ,
GLEAM J235913-361617, cluster2, POINT, 23:59:13.813, -36.16.17.715, 0.968942105770111, 0, 0, 0, [-0.818694531917572, 0], true, 200000000, , ,
GLEAM J233729-355528, cluster2, POINT, 23:37:29.539, -35.55.28.322, 1.17328321933746, 0, 0, 0, [-1.23346674442291, 0], true, 200000000, , ,
GLEAM J233023-355941, cluster2, POINT, 23:30:23.203, -35.59.41.721, 1.4825918674469, 0, 0, 0, [-0.878047823905945, 0], true, 200000000, , ,
GLEAM J233029-354610, cluster2, POINT, 23:30:29.883, -35.46.10.587, 1.39837610721588, 0, 0, 0, [-0.867724001407623, 0], true, 200000000, , ,
GLEAM J001525-332052, cluster2, POINT, 00:15:25.843, -33.20.52.304, 0.633446335792542, 0, 0, 0, [-0.839220821857452, 0], true, 200000000, , ,
GLEAM J235832-323814, cluster2, POINT, 23:58:32.6, -32.38.14.797, 0.62925511598587, 0, 0, 0, [-0.847451627254486, 0], true, 200000000, , ,
GLEAM J234951-295951, cluster2, POINT, 23:49:51.189, -29.59.51.424, 0.597119271755219, 0, 0, 0, [-0.805282056331635, 0], true, 200000000, , ,
GLEAM J000302-311814, cluster2, POINT, 00:03:02.595, -31.18.14.561, 0.542584419250488, 0, 0, 0, [-0.955040276050568, 0], true, 200000000, , ,
GLEAM J234439-315923, cluster2, POINT, 23:44:39.661, -31.59.23.113, 0.682984113693237, 0, 0, 0, [-1.06248664855957, 0], true, 200000000, , ,
GLEAM J000206-302007, cluster2, POINT, 00:02:06.593, -30.20.07.418, 0.534101665019989, 0, 0, 0, [-0.73193746805191, 0], true, 200000000, , ,
GLEAM J001737-364712, cluster2, POINT, 00:17:37.71, -36.47.12.372, 0.951182007789612, 0, 0, 0, [-0.646424949169159, 0], true, 200000000, , ,
GLEAM J001113-315029, cluster2, POINT, 00:11:13.544, -31.50.29.535, 1.93892848491669, 0, 0, 0, [-0.76856940984726, 0], true, 200000000, , ,
